well,fit_error_occured,term,estimate,std.error,statistic,p.value,conf.low,conf.high,est_error_occured,mu_type
A_1_Mu_0.1_Lag_0,FALSE,A,1.0035197391882222,0.017439054337989594,57.5443897208425,1.6490878069216692e-74,0.9722572303179037,1.0144814545522356,FALSE,other
A_1_Mu_0.1_Lag_0,FALSE,Mu,0.09939739403762948,0.00115952841190815,85.72225830504539,2.64226538840167e-90,0.09712432157151604,NA,FALSE,Mu_a
A_1_Mu_0.1_Lag_0,FALSE,Lag,0,0.19494751292571338,0,1,NA,0.355882090255978,FALSE,other
A_1_Mu_0.1_Lag_0,FALSE,C,5.166053326118837e-4,0.01702887527982559,0.030337020156810664,0.9758632819206126,-0.01038063364085445,0.031003133921198654,FALSE,other
A_1_Mu_0.1_Lag_2,FALSE,A,0.9920445113730486,0.006787180586007519,146.16444911135147,1.0812087509122516e-111,0.9788621659228848,1.0059538306002587,FALSE,other
A_1_Mu_0.1_Lag_2,FALSE,Mu,0.09946441285941982,9.709427020779478e-4,102.4410736561,1.997984463420939e-97,0.09756521631140473,0.10142500602946584,FALSE,Mu_a
A_1_Mu_0.1_Lag_2,FALSE,Lag,2.0690474755709776,0.09771518384756478,21.174267847652846,2.422457508535109e-37,1.869170393268735,2.2595325234160297,FALSE,other
A_1_Mu_0.1_Lag_2,FALSE,C,0.006737460421993727,0.006436128721770875,1.0468187808617884,0.29789625376061835,-0.006463958092051161,0.019228692947709538,FALSE,other
A_1_Mu_0.1_Lag_4,FALSE,A,0.9928349331349308,0.004420409594496724,224.60247447905738,5.4029669945533994e-129,0.9841538046738106,1.0016788158237167,FALSE,other
A_1_Mu_0.1_Lag_4,FALSE,Mu,0.10123840458324974,0.0010002155118159716,101.21659121187122,6.053471308058697e-97,0.09927320461201222,0.10326382187752302,FALSE,Mu_a
A_1_Mu_0.1_Lag_4,FALSE,Lag,4.123631209970208,0.07394301070314742,55.767694211492035,2.8094869505982136e-73,3.9754477303032867,4.268402590892626,FALSE,other
A_1_Mu_0.1_Lag_4,FALSE,C,0.0076389756799446545,0.004042898916544407,1.889479761337671,0.061942799872639676,-4.453946044898696e-4,0.015570633197240712,FALSE,other
A_1_Mu_0.1_Lag_6,FALSE,A,1.0006832863815749,0.0032988317456190404,303.3447485493966,4.080471745380937e-141,0.9941577812890574,1.0072671200647716,FALSE,other
A_1_Mu_0.1_Lag_6,FALSE,Mu,0.09974155642047212,8.757049540227631e-4,113.89858646143898,1.1273177108676007e-101,0.09802295452705465,0.1015065867117445,FALSE,Mu_a
A_1_Mu_0.1_Lag_6,FALSE,Lag,5.9463738693379105,0.06085651815834181,97.71137175258885,1.5573767923417845e-95,5.824495730076469,6.066543882246966,FALSE,other
A_1_Mu_0.1_Lag_6,FALSE,C,-3.016596454845187e-4,0.002906400007930578,-0.1037915099991027,0.9175583038432926,-0.006101606220724867,0.0054460434178285775,FALSE,other
A_1_Mu_0.1_Lag_8,FALSE,A,1.0042176609508942,0.0028879186747980626,347.7305887158038,1.2590300606310536e-146,0.9984935815482382,1.009973786309167,FALSE,other
A_1_Mu_0.1_Lag_8,FALSE,Mu,0.09947318955318006,8.651045653528301e-4,114.98400717907464,4.6950717723673046e-102,0.09777588622913665,0.10121562085889983,FALSE,Mu_a
A_1_Mu_0.1_Lag_8,FALSE,Lag,7.920836036184049,0.05700207322506982,138.95698152783015,1.1670860502313226e-109,7.806715497170065,8.033710719465324,FALSE,other
A_1_Mu_0.1_Lag_8,FALSE,C,-0.004849484322890687,0.0024379951327305645,-1.989127975599871,0.049625316710262525,-0.009708434271350944,-1.6782546653164266e-5,FALSE,other
A_1_Mu_0.1_Lag_10,FALSE,A,0.996907580981727,0.0030866912612879994,322.9696450320536,1.2054297202726372e-143,0.9908180645813452,NA,FALSE,other
A_1_Mu_0.1_Lag_10,FALSE,Mu,0.10157724169478996,0.001061116373967795,95.72676870018107,1.0306444261345845e-94,0.0995242509876315,0.10369443255847392,FALSE,Mu_a
A_1_Mu_0.1_Lag_10,FALSE,Lag,10.084955127499459,0.06357787863840138,158.62364934913214,5.5341350239013835e-115,9.959810696419293,10.208642140543864,FALSE,other
A_1_Mu_0.1_Lag_10,FALSE,C,0.0032681744421025572,0.0024886821301595965,1.3132148949423978,0.19234145971466063,-0.0016680985757714824,0.008184878605650621,FALSE,other
A_1_Mu_0.2_Lag_0,FALSE,A,1.0183945935639864,0.017450725144082933,58.35829658398444,4.624929521352823e-75,0.9877626580535095,1.03028320949352,FALSE,other
A_1_Mu_0.2_Lag_0,FALSE,Mu,0.20719174850008615,0.002610174971870055,79.37849022881558,3.06090361195364e-87,0.2021331780035972,0.21237337590483205,FALSE,Mu_a
A_1_Mu_0.2_Lag_0,FALSE,Lag,0,0.09760779445624357,0,1,NA,0.17313844369542655,FALSE,other
A_1_Mu_0.2_Lag_0,FALSE,C,-0.018986809065929547,0.0172770471225502,-1.098961467851051,0.274621725464893,-0.030825325593010437,0.011336078237672445,FALSE,other
A_1_Mu_0.2_Lag_2,FALSE,A,0.9998475394830203,0.005853194080272614,170.82084170980576,5.769045212261903e-118,0.9883006777091602,1.0117025461379447,FALSE,other
A_1_Mu_0.2_Lag_2,FALSE,Mu,0.1973149275158592,0.0026102348608218508,75.59278687042483,2.6898165377041065e-85,0.19221940295511103,0.20262501792018806,FALSE,Mu_a
A_1_Mu_0.2_Lag_2,FALSE,Lag,1.9764887053324398,0.05225294670336211,37.825401819975575,2.875626506783089e-58,1.869870494732776,2.0799137822740463,FALSE,other
A_1_Mu_0.2_Lag_2,FALSE,C,-1.6174774383474823e-4,0.005654510870564261,-0.028605081418582097,0.9772408544325675,-0.011617143435111481,0.010989868792533984,FALSE,other
A_1_Mu_0.2_Lag_4,FALSE,A,0.9966519771189802,0.004363737294052652,228.3941286926964,1.1420786351594769e-129,0.9880011114913014,1.0053746550675298,FALSE,other
A_1_Mu_0.2_Lag_4,FALSE,Mu,0.1991717364718023,0.0029150410142694825,68.32553487132164,2.7580922590224688e-81,0.19346985424829086,0.20513695714080146,FALSE,Mu_a
