well,term,estimate
A_1_Mu_0.1_Lag_0,Lag,-0.08482173885813402
A_1_Mu_0.1_Lag_0,Mu,0.09744003399106749
A_1_Mu_0.1_Lag_0,A,1.0116019282274396
A_1_Mu_0.1_Lag_2,Lag,2.0316594238415266
A_1_Mu_0.1_Lag_2,Mu,0.09976008121519597
A_1_Mu_0.1_Lag_2,A,1.001034605612876
A_1_Mu_0.1_Lag_4,Lag,3.979955236392952
A_1_Mu_0.1_Lag_4,Mu,0.09962053666843142
A_1_Mu_0.1_Lag_4,A,1.007210027466411
A_1_Mu_0.1_Lag_6,Lag,6.0265761992434355
A_1_Mu_0.1_Lag_6,Mu,0.10135580145381344
A_1_Mu_0.1_Lag_6,A,1.0083264749898275
A_1_Mu_0.1_Lag_8,Lag,7.975562573170138
A_1_Mu_0.1_Lag_8,Mu,0.09855920756238588
A_1_Mu_0.1_Lag_8,A,1.0034112530711883
A_1_Mu_0.1_Lag_10,Lag,9.970885764393804
A_1_Mu_0.1_Lag_10,Mu,0.10082714843580437
A_1_Mu_0.1_Lag_10,A,1.0061330294292057
A_1_Mu_0.2_Lag_0,Lag,-0.11806206110174891
A_1_Mu_0.2_Lag_0,Mu,0.18845137006150003
A_1_Mu_0.2_Lag_0,A,1.004386556072505
A_1_Mu_0.2_Lag_2,Lag,1.992676719677027
A_1_Mu_0.2_Lag_2,Mu,0.1962280996339045
A_1_Mu_0.2_Lag_2,A,1.0158370341759773
A_1_Mu_0.2_Lag_4,Lag,3.9759561695556815
A_1_Mu_0.2_Lag_4,Mu,0.19675306940016035
A_1_Mu_0.2_Lag_4,A,1.0124378126204032
A_1_Mu_0.2_Lag_6,Lag,5.918558640862411
A_1_Mu_0.2_Lag_6,Mu,0.189478087741793
A_1_Mu_0.2_Lag_6,A,1.0070593340301979
A_1_Mu_0.2_Lag_8,Lag,7.821005451673604
A_1_Mu_0.2_Lag_8,Mu,0.1852991781617529
A_1_Mu_0.2_Lag_8,A,1.0125661021077463
A_1_Mu_0.2_Lag_10,Lag,9.935852769558739
A_1_Mu_0.2_Lag_10,Mu,0.1909969920092676
A_1_Mu_0.2_Lag_10,A,1.0060959888301624
A_1_Mu_0.3_Lag_0,Lag,-0.1717673521268614
A_1_Mu_0.3_Lag_0,Mu,0.268018791143092
A_1_Mu_0.3_Lag_0,A,1.0081810470893118
A_1_Mu_0.3_Lag_2,Lag,1.9530672526212087
A_1_Mu_0.3_Lag_2,Mu,0.28658356035449056
A_1_Mu_0.3_Lag_2,A,1.013191576805867
A_1_Mu_0.3_Lag_4,Lag,4.009399798727195
A_1_Mu_0.3_Lag_4,Mu,0.30068562775665103
A_1_Mu_0.3_Lag_4,A,1.0121542389787062
A_1_Mu_0.3_Lag_6,Lag,5.88528215364311
A_1_Mu_0.3_Lag_6,Mu,0.27920214569094093
A_1_Mu_0.3_Lag_6,A,1.0133370627784204
A_1_Mu_0.3_Lag_8,Lag,8.001697156843976
A_1_Mu_0.3_Lag_8,Mu,0.2997279455716799
A_1_Mu_0.3_Lag_8,A,1.0152111305408473
A_1_Mu_0.3_Lag_10,Lag,9.945446814333371
A_1_Mu_0.3_Lag_10,Mu,0.28821444154874093
A_1_Mu_0.3_Lag_10,A,1.0069726838028492
A_1_Mu_0.4_Lag_0,Lag,-0.15624781238779822
A_1_Mu_0.4_Lag_0,Mu,0.3552707961197765
A_1_Mu_0.4_Lag_0,A,1.0086844586002575
A_1_Mu_0.4_Lag_2,Lag,1.9208192034732543
A_1_Mu_0.4_Lag_2,Mu,0.3705990240115679
A_1_Mu_0.4_Lag_2,A,1.0159589359641186
A_1_Mu_0.4_Lag_4,Lag,3.9368184294786057
A_1_Mu_0.4_Lag_4,Mu,0.3714074411901176
A_1_Mu_0.4_Lag_4,A,1.0136017621137918
A_1_Mu_0.4_Lag_6,Lag,5.95975187047714
A_1_Mu_0.4_Lag_6,Mu,0.3877624797807733
A_1_Mu_0.4_Lag_6,A,1.0171982611320411
A_1_Mu_0.4_Lag_8,Lag,7.886456931371524
A_1_Mu_0.4_Lag_8,Mu,0.3600561278774287
A_1_Mu_0.4_Lag_8,A,1.0104008790697125
A_1_Mu_0.4_Lag_10,Lag,9.944700497776267
A_1_Mu_0.4_Lag_10,Mu,0.3769330188683626
A_1_Mu_0.4_Lag_10,A,1.0127294120743482
A_1_Mu_0.5_Lag_0,Lag,-0.13394506635613096
A_1_Mu_0.5_Lag_0,Mu,0.43617010079332524
A_1_Mu_0.5_Lag_0,A,1.0087576358113146
A_1_Mu_0.5_Lag_2,Lag,1.9043736460553773
A_1_Mu_0.5_Lag_2,Mu,0.44291577488920136
A_1_Mu_0.5_Lag_2,A,1.0146159801617909
A_1_Mu_0.5_Lag_4,Lag,3.937975979024595
A_1_Mu_0.5_Lag_4,Mu,0.46038891258690484
A_1_Mu_0.5_Lag_4,A,1.0164052359355231
A_1_Mu_0.5_Lag_6,Lag,5.948580649378282
A_1_Mu_0.5_Lag_6,Mu,0.45838555402497494
A_1_Mu_0.5_Lag_6,A,1.012146042536751
A_1_Mu_0.5_Lag_8,Lag,7.93750236780922
A_1_Mu_0.5_Lag_8,Mu,0.46159506672954276
A_1_Mu_0.5_Lag_8,A,1.0137448864335705
A_1_Mu_0.5_Lag_10,Lag,9.983651439123193
A_1_Mu_0.5_Lag_10,Mu,0.4724477273145512
A_1_Mu_0.5_Lag_10,A,1.013045227519602
A_1_Mu_0.6_Lag_0,Lag,-0.12557923295574416
A_1_Mu_0.6_Lag_0,Mu,0.5191259796617641
A_1_Mu_0.6_Lag_0,A,1.0106483597485987
A_1_Mu_0.6_Lag_2,Lag,1.930827920022881
A_1_Mu_0.6_Lag_2,Mu,0.5429213792349898
A_1_Mu_0.6_Lag_2,A,1.0128875279250846
A_1_Mu_0.6_Lag_4,Lag,3.906519028449245
A_1_Mu_0.6_Lag_4,Mu,0.5221481243225671
A_1_Mu_0.6_Lag_4,A,1.0171600564871435
A_1_Mu_0.6_Lag_6,Lag,5.84470829481911
A_1_Mu_0.6_Lag_6,Mu,0.4853360061320209
A_1_Mu_0.6_Lag_6,A,1.0130940880500785
A_1_Mu_0.6_Lag_8,Lag,7.904708932035241
A_1_Mu_0.6_Lag_8,Mu,0.5220471130862661
A_1_Mu_0.6_Lag_8,A,1.016342315829442
A_1_Mu_0.6_Lag_10,Lag,9.86699051311693
A_1_Mu_0.6_Lag_10,Mu,0.504123087172608
A_1_Mu_0.6_Lag_10,A,1.0166643771570136
A_1_Mu_0.7_Lag_0,Lag,-0.13679640077754687
A_1_Mu_0.7_Lag_0,Mu,0.5870228423710009
A_1_Mu_0.7_Lag_0,A,1.017259216149153
A_1_Mu_0.7_Lag_2,Lag,0.49209961300044297
A_1_Mu_0.7_Lag_2,Mu,1.164915650315002
A_1_Mu_0.7_Lag_2,A,1.0184477950548299
A_1_Mu_0.7_Lag_4,Lag,0.4945651830922851
A_1_Mu_0.7_Lag_4,Mu,1.115563033862312
A_1_Mu_0.7_Lag_4,A,1.02154408263532
A_1_Mu_0.7_Lag_6,Lag,5.955658649277642
A_1_Mu_0.7_Lag_6,Mu,0.6472405018189881
A_1_Mu_0.7_Lag_6,A,1.012375565569428
A_1_Mu_0.7_Lag_8,Lag,7.955250837670465
A_1_Mu_0.7_Lag_8,Mu,0.6324959580791761
A_1_Mu_0.7_Lag_8,A,1.0131619062339505
A_1_Mu_0.7_Lag_10,Lag,9.971959350593558
A_1_Mu_0.7_Lag_10,Mu,0.6641394854153939
A_1_Mu_0.7_Lag_10,A,1.015609829596011
A_1_Mu_0.8_Lag_0,Lag,0.051399698104030195
A_1_Mu_0.8_Lag_0,Mu,0.9257143977301006
A_1_Mu_0.8_Lag_0,A,1.0258284111844411
A_1_Mu_0.8_Lag_2,Lag,1.8984657714506061
A_1_Mu_0.8_Lag_2,Mu,0.6665713251511773
A_1_Mu_0.8_Lag_2,A,1.0184603871797915
A_1_Mu_0.8_Lag_4,Lag,3.9411669558720717
A_1_Mu_0.8_Lag_4,Mu,0.695741475311483
A_1_Mu_0.8_Lag_4,A,1.0226684604935237
A_1_Mu_0.8_Lag_6,Lag,5.914367670393513
A_1_Mu_0.8_Lag_6,Mu,0.6855214404791073
A_1_Mu_0.8_Lag_6,A,1.0115787508716363
